OBJECTID,ENTIDAD_TE,codmuni,coddept,Municipio,Divipola_3,Department,Municipality,locs3_project_n,locs1_project_n
3400,Cabecera Municipal,52621,52,Roberto Payíçn (San Josí©),52621,Narií±o,Roberto Payíçn,0,0
3401,Cabecera Municipal,52079,52,Barbacoas,52079,Narií±o,Barbacoas,0,0
3402,Cabecera Municipal,52612,52,Ricaurte,52612,Narií±o,Ricaurte,0,0
3403,Cabecera Municipal,52227,52,Cumbal,52227,Narií±o,Cumbal,0,0
3404,Cabecera Municipal,52224,52,Cuaspud (Carlosama),52224,Narií±o,Cuaspud,0,0
3405,Cabecera Municipal,52356,52,Ipiales,52356,Narií±o,Ipiales,0,0
3411,Cabecera Municipal,86320,86,Orito,86320,Putumayo,Orito,0,0
3412,Cabecera Municipal,86885,86,Villagarzí_n,86885,Putumayo,Villagarzí_n,0,0
3413,CAP. DEPTO,86001,86,Mocoa,86001,Putumayo,Mocoa,0,0
3414,Cabecera Municipal,86568,86,Puerto Así_s,86568,Putumayo,Puerto Así_s,0,0
3415,Cabecera Municipal,86569,86,Puerto Caicedo,86569,Putumayo,Puerto Caicedo,0,0
3416,Cabecera Municipal,86573,86,Puerto Leguí_zamo,86573,Putumayo,Leguí_zamo,0,0
3417,Cabecera Municipal,86571,86,Puerto Guzmíçn,86571,Putumayo,Puerto Guzmíçn,0,0
3418,Cabecera Municipal,18029,18,Albania,18029,Caquetíç,Albania,0,0
3419,Cabecera Municipal,18860,18,Valparaí_so,18860,Caquetíç,Valparaí_so,0,0
3420,Cabecera Municipal,18785,18,Solita,18785,Caquetíç,Solita,0,0
3421,Cabecera Municipal,18094,18,Belí©n De Los Andaquí_es,18094,Caquetíç,Belí©n de Los Andaquies,0,0
3422,CAP. DEPTO,18001,18,Florencia,18001,Caquetíç,Florencia,0,0
3423,Cabecera Municipal,18410,18,La Montaí±ita,18410,Caquetíç,La Montaí±ita,0,0
3424,Cabecera Municipal,18256,18,El Paujil,18256,Caquetíç,El Paujil,0,0
3425,Cabecera Municipal,18247,18,El Doncello,18247,Caquetíç,El Doncello,0,0
3426,Cabecera Municipal,18592,18,Puerto Rico,18592,Caquetíç,Puerto Rico,0,0
3427,Cabecera Municipal,18753,18,San Vicente Del Caguíçn,18753,Caquetíç,San Vicente del Caguíçn,0,1
3428,Cabecera Municipal,18150,18,Cartagena Del Chairíç,18150,Caquetíç,Cartagena del Chairíç,0,0
3429,Cabecera Municipal,18756,18,Solano,18756,Caquetíç,Solano,0,0
3430,Cabecera Municipal,41206,41,Colombia,41206,Huila,Colombia,0,0
3431,Cabecera Municipal,41078,41,Baraya,41078,Huila,Baraya,0,0
3432,Cabecera Municipal,41016,41,Aipe,41016,Huila,Aipe,0,0
3433,Cabecera Municipal,41799,41,Tello,41799,Huila,Tello,0,0
3434,CAP. DEPTO,41001,41,Neiva,41001,Huila,Neiva,1,0
3435,Cabecera Municipal,41524,41,Palermo,41524,Huila,Palermo,0,0
3436,Cabecera Municipal,41615,41,Rivera,41615,Huila,Rivera,0,0
3437,Cabecera Municipal,41676,41,Santa Marí_a,41676,Huila,Santa Marí_a,0,0
3438,Cabecera Municipal,41885,41,Yaguaríç,41885,Huila,Yaguaríç,0,0
3439,Cabecera Municipal,41349,41,Hobo,41349,Huila,Hobo,0,0
3440,Cabecera Municipal,41357,41,Iquira,41357,Huila,Iquira,0,0
3441,Cabecera Municipal,41020,41,Algeciras,41020,Huila,Algeciras,0,0
3442,Cabecera Municipal,41306,41,Gigante,41306,Huila,Gigante,0,0
3443,Cabecera Municipal,41797,41,Tesalia,41797,Huila,Tesalia,0,0
3444,Cabecera Municipal,41548,41,Pital,41548,Huila,Pital,0,0
3445,Cabecera Municipal,41791,41,Tarqui,41791,Huila,Tarqui,0,0
3406,Cabecera Municipal,52207,52,Consacíç,52207,Narií±o,Consaca,0,0
3407,Cabecera Municipal,52683,52,Sandoníç,52683,Narií±o,Sandoníç,0,0
3408,Cabecera Municipal,52258,52,El Tablí_n,52258,Narií±o,El Tablí_n de Gí_mez,0,0
3409,Cabecera Municipal,86865,86,Valle Del Guamuez (La Hormiga),86865,Putumayo,Valle del Guamuez,0,0
3410,Cabecera Municipal,86757,86,San Miguel (La Dorada),86757,Putumayo,San Miguel,0,0
3446,Cabecera Municipal,41378,41,La Argentina,41378,Huila,La Argentina,0,0
3447,Cabecera Municipal,41660,41,Saladoblanco,41660,Huila,Saladoblanco,0,0
3448,Cabecera Municipal,41244,41,Elí_as,41244,Huila,Elí_as,0,0
3449,Cabecera Municipal,41359,41,Isnos,41359,Huila,Isnos,0,0
3450,Cabecera Municipal,41551,41,Pitalito,41551,Huila,Pitalito,0,0
3451,Cabecera Municipal,73349,73,Honda,73349,Tolima,Honda,0,0
3452,Cabecera Municipal,73055,73,Armero (Guayabal),73055,Tolima,Armero,0,0
3453,Cabecera Municipal,73270,73,Falan,73270,Tolima,Falan,0,0
3454,Cabecera Municipal,73686,73,Santa Isabel,73686,Tolima,Santa Isabel,0,0
3455,CAP. DEPTO,73001,73,Ibaguí©,73001,Tolima,Ibaguí©,0,0
3456,Cabecera Municipal,73624,73,Rovira,73624,Tolima,Rovira,0,0
3457,Cabecera Municipal,73124,73,Cajamarca,73124,Tolima,Cajamarca,0,0
3458,Cabecera Municipal,73622,73,Roncesvalles,73622,Tolima,Roncesvalles,0,0
3459,Cabecera Municipal,73675,73,San Antonio,73675,Tolima,San Antonio,0,0
3460,Cabecera Municipal,73555,73,Planadas,73555,Tolima,Planadas,0,0
3461,Cabecera Municipal,73067,73,Ataco,73067,Tolima,Ataco,0,0
3462,Cabecera Municipal,73483,73,Natagaima,73483,Tolima,Natagaima,0,0
3463,Cabecera Municipal,73024,73,Alpujarra,73024,Tolima,Alpujarra,0,0
3464,Cabecera Municipal,73236,73,Dolores,73236,Tolima,Dolores,0,0
3465,Cabecera Municipal,73563,73,Prado,73563,Tolima,Prado,0,0
3466,Cabecera Municipal,73585,73,Purificacií_n,73585,Tolima,Purificacií_n,0,0
3467,Cabecera Municipal,73504,73,Ortega,73504,Tolima,Ortega,0,0
3468,Cabecera Municipal,73770,73,Suíçrez,73770,Tolima,Suíçrez,0,0
3469,Cabecera Municipal,73678,73,San Luis,73678,Tolima,San Luis,0,0
3470,Cabecera Municipal,73148,73,Carmen De Apicalíç,73148,Tolima,Carmen de Apicalíç,0,0
3471,Cabecera Municipal,73449,73,Melgar,73449,Tolima,Melgar,0,0
3472,Cabecera Municipal,63272,63,Filandia,63272,Quindio,Filandia,0,0
3473,Cabecera Municipal,63190,63,Circasia,63190,Quindio,Circasia,0,0
3474,Cabecera Municipal,63594,63,Quimbaya,63594,Quindio,Quimbaya,0,0
3523,Cabecera Municipal,5234,5,Dabeiba,5234,Antioquia,Dabeiba,0,0
3524,Cabecera Municipal,5480,5,Mutatíç,5480,Antioquia,Mutatíç,0,0
3525,Cabecera Municipal,5154,5,Caucasia,5154,Antioquia,Caucasia,0,0
3526,Cabecera Municipal,5120,5,Cíçceres,5120,Antioquia,Cíçceres,0,0
3527,Cabecera Municipal,5790,5,Tarazíç,5790,Antioquia,Tarazíç,0,0
3528,Cabecera Municipal,5837,5,Turbo,5837,Antioquia,Turbo,0,0
3529,Cabecera Municipal,5490,5,Necoclí_,5490,Antioquia,Necoclí_,0,0
3530,Cabecera Municipal,5659,5,San Juan De Urabíç,5659,Antioquia,San Juan de Urabíç,0,0
3475,CAP. DEPTO,63001,63,Armenia,63001,Quindio,Armenia,0,0
3531,Cabecera Municipal,5051,5,Arboletes,5051,Antioquia,Arboletes,0,0
3532,CAP. DEPTO,23001,23,Monterí_a,23001,Cí_rdoba,Monterí_a,0,0
3533,Cabecera Municipal,23419,23,Los Cí_rdobas,23419,Cí_rdoba,Los Cí_rdobas,0,0
3534,Cabecera Municipal,23090,23,Canalete,23090,Cí_rdoba,Canalete,0,0
3535,Cabecera Municipal,23574,23,Puerto Escondido,23574,Cí_rdoba,Puerto Escondido,0,0
3536,Cabecera Municipal,23500,23,Moí±itos,23500,Cí_rdoba,Moí±itos,0,0
3537,Cabecera Municipal,23675,23,San Bernardo Del Viento,23675,Cí_rdoba,San Bernardo del Viento,0,0
3538,Cabecera Municipal,23672,23,San Antero,23672,Cí_rdoba,San Antero,0,0
3539,Cabecera Municipal,23168,23,Chimíç,23168,Cí_rdoba,Chimíç,0,0
3540,Cabecera Municipal,23670,23,San Andrí©s De Sotavento,23670,Cí_rdoba,San Andrí©s Sotavento (1) (3),0,0
3541,Cabecera Municipal,23182,23,Chiní_,23182,Cí_rdoba,Chiní_,0,0
3542,Cabecera Municipal,23189,23,Cií©naga De Oro,23189,Cí_rdoba,Cií©naga de Oro,0,0
3543,Cabecera Municipal,23570,23,Pueblo Nuevo,23570,Cí_rdoba,Pueblo Nuevo,0,0
3476,Cabecera Municipal,63130,63,Calarcíç,63130,Quindio,Calarca,0,0
3544,Cabecera Municipal,23068,23,Ayapel,23068,Cí_rdoba,Ayapel,0,0
3545,Cabecera Municipal,23580,23,Puerto Libertador,23580,Cí_rdoba,Puerto Libertador,0,0
3546,Cabecera Municipal,23686,23,San Pelayo,23686,Cí_rdoba,San Pelayo,0,0
3692,Cabecera Municipal,54871,54,Villa Caro,54871,Norte de Santander,Villa Caro,0,0
3694,Cabecera Municipal,54398,54,La Playa,54398,Norte de Santander,La Playa,1,0
3695,Cabecera Municipal,54670,54,San Calixto,54670,Norte de Santander,San Calixto,0,0
3696,Cabecera Municipal,54385,54,La Esperanza,54385,Norte de Santander,La Esperanza,0,0
3697,Cabecera Municipal,54128,54,Cíçchira,54128,Norte de Santander,Cachiríç,0,0
3477,Cabecera Municipal,63212,63,Cí_rdoba,63212,Quindio,Cí_rdoba,0,0
3478,CAP. DEPTO,66001,66,Pereira,66001,Risaralda,Pereira,0,0
3479,Cabecera Municipal,66383,66,La Celia,66383,Risaralda,La Celia,0,0
3560,Cabecera Municipal,13473,13,Morales,13473,Bolí_var,Morales,0,1
3561,Cabecera Municipal,13688,13,Santa Rosa Del Sur,13688,Bolí_var,Santa Rosa del Sur,0,2
3562,Cabecera Municipal,13160,13,Cantagallo,13160,Bolí_var,Cantagallo,0,2
3563,Cabecera Municipal,13006,13,Achí_,13006,Bolí_var,Achí_,0,0
3564,Cabecera Municipal,13030,13,Altos Del Rosario,13030,Bolí_var,Altos del Rosario,0,0
3566,Cabecera Municipal,13810,13,Tiquisio (Puerto Rico),13810,Bolí_var,Tiquisio,0,0
3567,Cabecera Municipal,8372,8,Juan De Acosta,8372,Atlíçntico,Juan de Acosta,0,0
3568,Cabecera Municipal,8573,8,Puerto Colombia,8573,Atlíçntico,Puerto Colombia,0,0
3569,"CAP. DEPTO Distrito Especial, Industrial y Portuario",8001,8,"Barranquilla (Distrito Especial, Industrial Y Portuario)",8001,Atlíçntico,Barranquilla,0,0
3698,Cabecera Municipal,54874,54,Villa Del Rosario,54874,Norte de Santander,Villa del Rosario,0,0
3699,Cabecera Municipal,54599,54,Ragonvalia,54599,Norte de Santander,Ragonvalia,1,0
3700,Cabecera Municipal,54347,54,Herríçn,54347,Norte de Santander,Herríçn,1,0
3701,Cabecera Municipal,54820,54,Toledo,54820,Norte de Santander,Toledo,1,0
3702,Cabecera Municipal,68575,68,Puerto Wilches,68575,Santander,Puerto Wilches,1,1
3703,Cabecera Municipal,68655,68,Sabana De Torres,68655,Santander,Sabana de Torres,0,2
3480,Cabecera Municipal,66687,66,Santuario,66687,Risaralda,Santuario,0,0
3570,Cabecera Municipal,8685,8,Santo Tomíçs,8685,Atlíçntico,Santo Tomíçs,0,0
3704,Cabecera Municipal,68615,68,Rionegro,68615,Santander,Rionegro,2,0
3481,Cabecera Municipal,66088,66,Belí©n De Umbrí_a,66088,Risaralda,Belí©n de Umbrí_a,0,0
3571,Cabecera Municipal,8520,8,Palmar De Varela,8520,Atlíçntico,Palmar de Varela,0,0
3572,Cabecera Municipal,8560,8,Ponedera,8560,Atlíçntico,Ponedera,0,0
3573,Cabecera Municipal,8549,8,Piojí_,8549,Atlíçntico,Piojí_,0,0
3574,Cabecera Municipal,8832,8,Tubaríç,8832,Atlíçntico,Tubaríç,0,0
3705,Cabecera Municipal,68255,68,El Playí_n,68255,Santander,El Playí_n,0,0
3706,Cabecera Municipal,68780,68,Suratíç,68780,Santander,Suratíç,0,0
4168,Cabecera Municipal,23586,23,Purí_sima,23586,Cí_rdoba,Purí_sima,0,0
4169,Cabecera Municipal,23660,23,Sahagí_n,23660,Cí_rdoba,Sahagí_n,0,0
4170,Cabecera Municipal,23678,23,San Carlos,23678,Cí_rdoba,San Carlos,0,0
4171,Cabecera Municipal,23555,23,Planeta Rica,23555,Cí_rdoba,Planeta Rica,0,0
4172,Cabecera Municipal,23079,23,Buenavista,23079,Cí_rdoba,Buenavista,0,0
3482,Cabecera Municipal,66572,66,Pueblo Rico,66572,Risaralda,Pueblo Rico,0,0
3483,Cabecera Municipal,66456,66,Mistratí_,66456,Risaralda,Mistratí_,0,0
3740,Cabecera Municipal,68500,68,Oiba,68500,Santander,Oiba,0,0
4173,Cabecera Municipal,23350,23,La Apartada,23350,Cí_rdoba,La Apartada,0,0
4174,Cabecera Municipal,23466,23,Montelí_bano,23466,Cí_rdoba,Montelí_bano(1)(3),0,0
4175,Cabecera Municipal,70204,70,Colosí_,70204,Sucre,Coloso,0,1
4176,Cabecera Municipal,70230,70,Chalíçn,70230,Sucre,Chalíçn,1,0
4177,Cabecera Municipal,70508,70,Ovejas,70508,Sucre,Ovejas,1,0
4178,Cabecera Municipal,70823,70,Toluviejo,70823,Sucre,Tolí_ Viejo,1,0
4179,CAP. DEPTO,70001,70,Sincelejo,70001,Sucre,Sincelejo,1,0
4180,Cabecera Municipal,70215,70,Corozal,70215,Sucre,Corozal,1,0
4181,Cabecera Municipal,70702,70,San Juan De Betulia,70702,Sucre,San Juan de Betulia,0,0
4182,Cabecera Municipal,70742,70,Sincí©,70742,Sucre,San Luis de Sincí©,0,0
4183,Cabecera Municipal,70110,70,Buenavista,70110,Sucre,Buenavista,0,0
4184,Cabecera Municipal,70717,70,San Pedro,70717,Sucre,San Pedro,0,0
4185,Cabecera Municipal,70235,70,Galeras,70235,Sucre,Galeras,0,0
3484,Cabecera Municipal,66318,66,Guíçtica,66318,Risaralda,Guíçtica,0,0
3485,Cabecera Municipal,27250,27,El Litoral Del San Juan,27250,Chocí_,El Litoral del San Juan,0,0
3486,Cabecera Municipal,27077,27,Bajo Baudí_  (Pizarro),27077,Chocí_,Bajo Baudí_,0,0
3487,Cabecera Municipal,27660,27,San Josí© Del Palmar,27660,Chocí_,San Josí© del Palmar,0,0
3488,Cabecera Municipal,27413,27,Llorí_,27413,Chocí_,Llorí_,0,0
3489,Cabecera Municipal,27025,27,Alto Baudí_ (Pie De Patí_),27025,Chocí_,Alto Baudo,0,0
3490,Cabecera Municipal,27495,27,Nuquí_,27495,Chocí_,Nuquí_,0,0
3491,CAP. DEPTO,27001,27,Quibdí_,27001,Chocí_,Quibdí_,0,0
3492,Cabecera Municipal,27075,27,Bahí_a Solano (Mutis),27075,Chocí_,Bahí_a Solano,0,0
3493,Cabecera Municipal,27150,27,Carmen Del Darií©n  (Curbaradí_),27150,Chocí_,Carmen del Darien,0,0
3494,Cabecera Municipal,27615,27,Riosucio,27615,Chocí_,Riosucio(2),0,0
3495,Cabecera Municipal,27372,27,Juradí_,27372,Chocí_,Juradí_,0,0
3496,Cabecera Municipal,27800,27,Unguí_a,27800,Chocí_,Unguí_a,0,0
3497,Cabecera Municipal,27006,27,Acandí_,27006,Chocí_,Acandí_,0,0
3745,Cabecera Municipal,68167,68,Charalíç,68167,Santander,Charalíç,0,0
3746,Cabecera Municipal,68572,68,Puente Nacional,68572,Santander,Puente Nacional,0,0
4186,Cabecera Municipal,70233,70,El Roble,70233,Sucre,El Roble,0,0
4187,Cabecera Municipal,70670,70,Sampuí©s,70670,Sucre,Sampuí©s,0,0
4188,Cabecera Municipal,70678,70,San Benito Abad,70678,Sucre,San Benito Abad,0,0
4189,Cabecera Municipal,70265,70,Guaranda,70265,Sucre,Guaranda,0,0
4190,Cabecera Municipal,70124,70,Caimito,70124,Sucre,Caimito,0,0
4191,Cabecera Municipal,70708,70,San Marcos,70708,Sucre,San Marcos,0,0
4192,Cabecera Municipal,13222,13,Clemencia,13222,Bolí_var,Clemencia,0,0
4193,Cabecera Municipal,13683,13,Santa Rosa,13683,Bolí_var,Santa Rosa,0,0
3498,Cabecera Municipal,17665,17,San Josí©,17665,Caldas,San Josí©,0,0
3580,Cabecera Municipal,91540,91,Puerto Narií±o,91540,Amazonas,Puerto Narií±o,0,0
3581,Corregimiento Departamental,91460,91,C.D Mirití_-Paraníç (Campoamor),91460,Amazonas,Miriti - Paraníç (ANM),0,0
3582,Corregimiento Departamental,91430,91,C.D La Victoria (Pacoa),91430,Amazonas,La Victoria (ANM),0,0
3583,Corregimiento Departamental,91405,91,C.D La Chorrera,91405,Amazonas,La Chorrera (ANM),0,0
3584,Corregimiento Departamental,91669,91,C.D Santander (Araracuara),91669,Amazonas,Puerto Santander (ANM),0,0
3585,Corregimiento Departamental,91407,91,C.D La Pedrera,91407,Amazonas,La Pedrera (ANM),0,0
3586,Cabecera Municipal,95200,95,Miraflores,95200,Guaviare,Miraflores,0,0
3587,Cabecera Municipal,95025,95,El Retorno,95025,Guaviare,El Retorno,0,0
3588,Cabecera Municipal,95015,95,Calamar,95015,Guaviare,Calamar,1,0
3589,CAP. DEPTO,95001,95,San Josí© Del Guaviare,95001,Guaviare,San Josí© del Guaviare,0,0
3590,Cabecera Municipal,97666,97,Taraira,97666,Vaupí©s,Taraira,0,0
3591,Corregimiento Departamental,97511,97,C.D Pacoa,97511,Vaupí©s,Pacoa (ANM),0,0
3592,Cabecera Municipal,97161,97,Carurí_,97161,Vaupí©s,Caruru,0,0
3593,Corregimiento Departamental,97777,97,C.D Papunaua,97777,Vaupí©s,Papunaua (ANM),0,0
3594,CAP. DEPTO,97001,97,Mití_,97001,Vaupí©s,Mití_,0,0
3499,Cabecera Municipal,17616,17,Risaralda,17616,Caldas,Risaralda,0,0
3500,Cabecera Municipal,17614,17,Riosucio,17614,Caldas,Riosucio,0,0
3501,Cabecera Municipal,17380,17,La Dorada,17380,Caldas,La Dorada,0,0
3595,Corregimiento Departamental,97889,97,C.D Yavaratí©,97889,Vaupí©s,Yavaratí© (ANM),0,0
3596,Corregimiento Departamental,94663,94,C.D Mapiripana,94663,Guainí_a,Mapiripana (ANM),0,0
3597,Corregimiento Departamental,94343,94,C.D Barranco Mina,94343,Guainí_a,Barranco Minas (ANM),0,0
3598,CAP. DEPTO,94001,94,Inirida,94001,Guainí_a,Iní_rida,0,0
3599,Corregimiento Departamental,94886,94,C.D Cacahual,94886,Guainí_a,Cacahual (ANM),0,0
3600,Corregimiento Departamental,94884,94,C.D Puerto Colombia,94884,Guainí_a,Puerto Colombia (ANM),0,0
3601,Corregimiento Departamental,94885,94,C.D La Guadalupe,94885,Guainí_a,La Guadalupe (ANM),0,0
3602,Corregimiento Departamental,94888,94,C.D Morichal (Morichal Nuevo),94888,Guainí_a,Morichal (ANM),0,0
3603,Corregimiento Departamental,94887,94,C.D Paníç Paníç (Campo Alegre),94887,Guainí_a,Pana Pana (ANM),0,0
3604,Corregimiento Departamental,94883,94,C.D San Felipe,94883,Guainí_a,San Felipe (ANM),0,0
3605,Cabecera Municipal,99624,99,Santa Rosalí_a,99624,Vichada,Santa Rosalí_a,0,0
3606,Cabecera Municipal,99524,99,La Primavera,99524,Vichada,La Primavera,0,0
3607,CAP. DEPTO,99001,99,Puerto Carreí±o,99001,Vichada,Puerto Carreí±o,0,0
3608,Cabecera Municipal,99773,99,Cumaribo,99773,Vichada,Cumaribo,0,0
3609,Cabecera Municipal,50350,50,La Macarena,50350,Meta,La Macarena,0,0
3610,Cabecera Municipal,50370,50,Uribe,50370,Meta,Uribe,0,0
3611,Cabecera Municipal,50330,50,Mesetas,50330,Meta,Mesetas,0,0
3612,Cabecera Municipal,50683,50,San Juan De Arama,50683,Meta,San Juan de Arama,0,0
3613,Cabecera Municipal,50287,50,Fuente De Oro,50287,Meta,Fuente de Oro,0,0
3502,Cabecera Municipal,17444,17,Marquetalia,17444,Caldas,Marquetalia,0,0
3503,Cabecera Municipal,17433,17,Manzanares,17433,Caldas,Manzanares,0,0
3504,Cabecera Municipal,17446,17,Marulanda,17446,Caldas,Marulanda,0,0
3505,CAP. DEPTO,17001,17,Manizales,17001,Caldas,Manizales,0,0
3506,Cabecera Municipal,5148,5,Carmen De Viboral,5148,Antioquia,El Carmen de Viboral,0,0
3614,Cabecera Municipal,50313,50,Granada,50313,Meta,Granada,1,0
3615,Cabecera Municipal,50689,50,San Martí_n,50689,Meta,San Martí_n,0,0
3616,Cabecera Municipal,50223,50,Cubarral,50223,Meta,Cubarral,0,0
3617,Cabecera Municipal,50150,50,Castilla La Nueva,50150,Meta,Castilla la Nueva,0,0
3618,CAP. DEPTO,50001,50,Villavicencio,50001,Meta,Villavicencio,0,0
3619,Cabecera Municipal,50226,50,Cumaral,50226,Meta,Cumaral,0,0
3620,Cabecera Municipal,50110,50,Barranca De Upí_a,50110,Meta,Barranca de Upí_a,0,0
3621,Cabecera Municipal,50124,50,Cabuyaro,50124,Meta,Cabuyaro,0,0
3622,Cabecera Municipal,50573,50,Puerto Lí_pez,50573,Meta,Puerto Lí_pez,0,0
3623,Cabecera Municipal,50680,50,San Carlos De Guaroa,50680,Meta,San Carlos de Guaroa,0,0
3624,Cabecera Municipal,50577,50,Puerto Lleras,50577,Meta,Puerto Lleras,0,0
3625,Cabecera Municipal,50590,50,Puerto Rico,50590,Meta,Puerto Rico,0,0
3626,Cabecera Municipal,50450,50,Puerto Concordia,50450,Meta,Puerto Concordia,0,0
3507,Cabecera Municipal,5360,5,Itaguí_,5360,Antioquia,Itagui,0,0
3508,Cabecera Municipal,5615,5,Rionegro,5615,Antioquia,Rionegro,1,0
3627,Cabecera Municipal,50325,50,Mapiripíçn,50325,Meta,Mapiripíçn,0,0
3628,Cabecera Municipal,50568,50,Puerto Gaitíçn,50568,Meta,Puerto Gaitíçn,0,0
3629,Cabecera Municipal,50711,50,Vistahermosa,50711,Meta,Vistahermosa,0,0
3630,Cabecera Municipal,85440,85,Villanueva,85440,Casanare,Villanueva,0,0
3631,Cabecera Municipal,85300,85,Sabanalarga,85300,Casanare,Sabanalarga,0,0
3632,Cabecera Municipal,85162,85,Monterrey,85162,Casanare,Monterrey,0,0
3633,Cabecera Municipal,85410,85,Tauramena,85410,Casanare,Tauramena,0,0
3634,Cabecera Municipal,85279,85,Recetor,85279,Casanare,Recetor,0,0
3635,Cabecera Municipal,85010,85,Aguazul,85010,Casanare,Aguazul,0,0
3636,CAP. DEPTO,85001,85,Yopal,85001,Casanare,Yopal,0,0
3637,Cabecera Municipal,85225,85,Nunchí_a,85225,Casanare,Nunchí_a,0,0
3638,Cabecera Municipal,85263,85,Pore,85263,Casanare,Pore,0,0
3639,Cabecera Municipal,85430,85,Trinidad,85430,Casanare,Trinidad,0,0
3640,Cabecera Municipal,15223,15,Cubaríç,15223,Boyacíç,Cubaríç,0,0
3641,Cabecera Municipal,85325,85,San Luis De Palenque,85325,Casanare,San Luis de Palenque,0,0
3642,Cabecera Municipal,85139,85,Maní_,85139,Casanare,Maní_,0,0
3643,Cabecera Municipal,85230,85,Orocuí©,85230,Casanare,Orocuí©,0,0
3644,Cabecera Municipal,81794,81,Tame,81794,Arauca,Tame,0,0
3846,Cabecera Municipal,25430,25,Madrid,25430,Cundinamarca,Madrid,0,0
4194,Cabecera Municipal,13873,13,Villanueva,13873,Bolí_var,Villanueva,0,0
4195,Cabecera Municipal,13647,13,San Estanislao,13647,Bolí_var,San Estanislao,0,0
3509,Cabecera Municipal,5440,5,Marinilla,5440,Antioquia,Marinilla,1,0
3510,Cabecera Municipal,5541,5,Peí±ol,5541,Antioquia,Peí±ol,0,0
3511,Cabecera Municipal,5206,5,Concepcií_n,5206,Antioquia,Concepcií_n,1,0
3512,CAP. DEPTO,5001,5,Medellí_n,5001,Antioquia,Medellí_n,0,0
3513,Cabecera Municipal,5674,5,San Vicente,5674,Antioquia,San Vicente,1,0
3656,Cabecera Municipal,44420,44,La Jagua Del Pilar,44420,La Guajira,La Jagua del Pilar,0,0
3657,Cabecera Municipal,44279,44,Fonseca,44279,La Guajira,Fonseca,0,0
3658,Cabecera Municipal,44078,44,Barrancas,44078,La Guajira,Barrancas,0,0
3659,Cabecera Municipal,44378,44,Hato Nuevo,44378,La Guajira,Hatonuevo,0,0
3660,Cabecera Municipal,44035,44,Albania,44035,La Guajira,Albania,0,0
3661,Cabecera Municipal,44430,44,Maicao,44430,La Guajira,Maicao,0,0
3514,Cabecera Municipal,5240,5,Ebí©jico,5240,Antioquia,Ebí©jico,0,0
3515,Cabecera Municipal,5044,5,Anzíç,5044,Antioquia,Anza,0,0
3516,Cabecera Municipal,27099,27,Bojayíç (Bellavista),27099,Chocí_,Bojaya,0,0
3517,Cabecera Municipal,5475,5,Murindí_,5475,Antioquia,Murindí_,0,0
3518,Cabecera Municipal,5042,5,Santa Fe De Antioquia,5042,Antioquia,Santafí© de Antioquia,0,0
3662,Cabecera Municipal,44847,44,Uribia,44847,La Guajira,Uribia,0,0
3663,Cabecera Municipal,44560,44,Manaure,44560,La Guajira,Manaure,0,0
3664,Cabecera Municipal,47745,47,Sitionuevo,47745,Magdalena,Sitionuevo,0,0
